epoch,step,train_loss,train_ltv_mse,train_ret_bce,val_loss,val_ltv_mse,val_ret_acc,val_ret_bce
0,9,4703.00341796875,4702.8642578125,0.4646281599998474,,,,
0,19,6170.95068359375,6170.87548828125,0.24991238117218018,,,,
0,29,2498.232177734375,2498.190185546875,0.13968494534492493,,,,
0,39,5466.4814453125,5466.4365234375,0.1497623175382614,,,,
0,49,7906.38916015625,7906.37060546875,0.061822839081287384,,,,
0,59,4449.99755859375,4449.951171875,0.15523147583007812,,,,
0,69,1528.876220703125,1528.8365478515625,0.13225704431533813,,,,
0,79,1374.181640625,1374.088134765625,0.31158357858657837,,,,
0,89,2073.344482421875,2073.290283203125,0.18052485585212708,,,,
0,99,906.9727172851562,906.932373046875,0.134567990899086,,,,
0,109,968.6784057617188,968.6563110351562,0.0737360268831253,,,,
0,119,870.1031494140625,870.0632934570312,0.1329261064529419,,,,
0,124,,,,1184.9017333984375,1184.863037109375,0.9629999995231628,0.1290999799966812
1,129,789.7509765625,789.7054443359375,0.15186554193496704,,,,
1,139,851.1226806640625,851.0877685546875,0.1163371130824089,,,,
1,149,830.4251708984375,830.4064331054688,0.06236778944730759,,,,
1,159,789.4451293945312,789.4287109375,0.05480135232210159,,,,
1,169,1009.2715454101562,1009.2546997070312,0.0561084970831871,,,,
1,179,1108.5911865234375,1108.558349609375,0.1094033271074295,,,,
1,189,573.4424438476562,573.3931274414062,0.1643376350402832,,,,
1,199,1959.165283203125,1959.1270751953125,0.12717045843601227,,,,
1,209,630.6275634765625,630.5950927734375,0.10832146555185318,,,,
1,219,1334.732177734375,1334.7138671875,0.06084331125020981,,,,
1,229,1640.4658203125,1640.4432373046875,0.0753609761595726,,,,
1,239,661.9481201171875,661.87890625,0.23061220347881317,,,,
1,249,285.3281555175781,285.30670166015625,0.0715608224272728,,,,
1,249,,,,571.9168090820312,571.8896484375,0.9825000166893005,0.09077098965644836
2,259,379.620849609375,379.58624267578125,0.11532019078731537,,,,
2,269,486.7220153808594,486.70245361328125,0.06518331170082092,,,,
2,279,348.2274169921875,348.19720458984375,0.10067543387413025,,,,
2,289,242.75686645507812,242.74606323242188,0.035989247262477875,,,,
2,299,502.7729797363281,502.73687744140625,0.12035691738128662,,,,
2,309,604.3558349609375,604.3312377929688,0.08197864890098572,,,,
2,319,338.9135437011719,338.8954772949219,0.060221582651138306,,,,
2,329,357.95013427734375,357.9117431640625,0.1279744803905487,,,,
2,339,247.922119140625,247.8923797607422,0.0991431474685669,,,,
2,349,347.1964111328125,347.1610412597656,0.11786360293626785,,,,
2,359,80.15888214111328,80.14338684082031,0.05166121572256088,,,,
2,369,194.7605743408203,194.72189331054688,0.12892663478851318,,,,
2,374,,,,367.37982177734375,367.3551330566406,0.9815000295639038,0.0823327973484993
3,379,681.7529907226562,681.7313232421875,0.0722033828496933,,,,
